requirement_id,research_topic_or_output,exact_file,exact_code_object,figure_or_table,test,evidence_status,remaining_limitation,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
Topic 11,Independent numerical behavior,spin_chemistry.py,propagate_encounter_reference; propagate_encounter_independent,Figure 8; Table 6,IndependentEncounterValidationTests,complete,"numerical, not physical validation",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 12,Circuit consistency,spin_chemistry.py,execute_three_qubit_unitary_circuit,Figure 11; Table 7,CoherentValidationTests,conditional_complete,coherent simulator and embedding only,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output A,parameter provenance,configs/parameter_provenance.csv,_provenance_rows,Table 2,AuthorityAndModeTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output B,Hamiltonian and spin algebra,spin_chemistry.py,hamiltonian; P_DOUBLET; P_QUARTET,Figure 1; Table 1,SpinAlgebraTests; InitialStateAndHamiltonianTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output C,initial-state benchmarks,spin_chemistry.py,initial_density,Figures 2-3; Table 4,InitialStateAndHamiltonianTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output D,kQ/kD analysis,sensitivity_analysis.py,run_mixing_escape_sweep; run_selectivity_sweep,Figures 4 and 6,PaperPipelineTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output E,reaction network,spin_chemistry.py,primary_superoxide_formation; downstream_ros_species_resolved,Figures 1 and 9,StagedChemistryTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output F,supported claims,metadata/paper_results_summary.md,main,Generated results summary,PaperPipelineTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output G,unsupported claims,metadata/run_manifest.json,SCIENTIFIC_LIMITATIONS,Run manifest,AuthorityAndModeTests; PaperPipelineTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output H,configuration JSON,configs/doxorubicin_parameters.json,validate_authority_bundle,Table 2,AuthorityAndModeTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output I,machine-readable outputs,paper_analysis.py,write_csv; run_manifest.json,Figures 1-11; Tables 1-9,PaperPipelineTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output J,active repository mapping,README.md; paper_analysis.py,build_parser; main,Table 9,PaperPipelineTests,complete,Interpret only within the stated evidence and sensitivity scope.,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
