symbol,definition,value_or_range,unit,species,charge_state,environment,temperature,pH,method,uncertainty,source,status,limitations,use_class,code_location,permitted_use,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
K_O2_T4L,O2 association constant in T4 lysozyme L99A cavities,48,M^-1,ground-state O2,neutral,T4 lysozyme L99A; 50 mM phosphate; 25 mM NaCl,298 K,5.5,gas-pressure NMR plus MD,7 M^-1,https://doi.org/10.1038/srep20534,measured_fitted,protein-cavity association; not doxorubicin/O2 and not a spin-Hamiltonian value,context_only,reference_evidence.oxygen.protein_cavity.association,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
tau_rot_O2_T4L,O2 rotational correlation components,0.164;1.41,ps,ground-state O2,neutral,T4 lysozyme L99A cavities; 50 mM phosphate; 25 mM NaCl,298 K,5.5,molecular dynamics fit,0.006;0.02 ps,https://doi.org/10.1038/srep20534,calculated_fitted,rapid orientation averaging; not doxorubicin encounter dynamics,context_only,reference_evidence.oxygen.protein_cavity.rotational_correlation,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
g_D_E_O2_encounter,O2 g and ZFS tensors in transient doxorubicin-semiquinone/O2 encounter,unavailable,not available,ground-state O2,neutral,doxorubicin-semiquinone solution encounter,unavailable,unavailable,targeted primary-literature search,NA,NA,unavailable,not found; gas/matrix/liquid/protein values are not substitutes,sensitivity_only,reference_evidence.oxygen.doxorubicin_semiquinone_encounter,sensitivity_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
T1_T2_Tm_SQ,doxorubicin or close anthracycline semiquinone electron-spin relaxation/dephasing,unavailable,s,doxorubicin semiquinone,unresolved,chemically relevant solution,unavailable,unavailable,pulse-EPR and linewidth search,NA,NA,unavailable,only unresolved CW linewidths found; chemical half-life is not spin relaxation,sensitivity_only,reference_evidence.hyperfine.spin_relaxation,sensitivity_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_O2_total_pH6,total bulk semiquinone oxidation by O2,3.5e8,M^-1 s^-1,adriamycin semiquinone plus ground-state O2,biological-pH semiquinone described as internally protonated/zwitterionic; O2 neutral,aqueous phosphate/formate system; O2 or O2/N2 purge at least 30 min,room temperature,6.0,electron pulse radiolysis transient absorption,0.4e8 M^-1 s^-1,https://doi.org/10.1038/bjc.1985.74,measured,total channel only; homogeneous solution; no encounter geometry or spin resolution,quantitative_bulk_validation,parameter_records.doxorubicin_semiquinone_plus_oxygen_pH6,quantitative_bulk_validation,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_O2_total_pH11_5,total bulk semiquinone oxidation by O2,1.7e8,M^-1 s^-1,adriamycin semiquinone plus ground-state O2,deprotonated semiquinone form; O2 neutral,aqueous borate/OH- system; O2 or O2/N2 purge at least 30 min,room temperature,11.5,electron pulse radiolysis transient absorption,0.2e8 M^-1 s^-1,https://doi.org/10.1038/bjc.1985.74,measured,total channel only; alkaline; no encounter geometry or spin resolution,quantitative_bulk_validation,parameter_records.doxorubicin_semiquinone_plus_oxygen_pH11_5,quantitative_bulk_validation,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_O2_total_1981,earlier total bulk semiquinone oxidation by O2,4.4e7,M^-1 s^-1,adriamycin semiquinone plus O2,not reported in accessible source,aqueous buffer,not reported in accessible source,not reported in accessible source,pulse radiolysis,not reported,https://doi.org/10.1016/0003-9861(81)90263-0,measured,differs from 1985 values; missing conditions prevent reconciliation; never k_D,validation_only,parameter_records.doxorubicin_semiquinone_plus_oxygen_1981,validation_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
t_half_SQ_anaerobic,semiquinone chemical half-life,50,us,adriamycin semiquinone,not reported in accessible source,anaerobic aqueous medium,not reported in accessible source,not reported in accessible source,pulse radiolysis,not reported,https://doi.org/10.1016/0003-9861(81)90263-0,measured,chemical loss not spin T1/T2 or encounter duration,context_only,reference_evidence.encounter.chemical_lifetime_context,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
diffusion_distance_SQ,author-calculated bulk travel bounds,<0.6 anaerobic;<0.1 air-saturated,um,adriamycin semiquinone,not reported in accessible source,aqueous buffer,not reported in accessible source,not reported in accessible source,calculated from chemical lifetime/diffusion,not reported,https://doi.org/10.1016/0003-9861(81)90263-0,calculated,not pair separation or encounter radius; 8 us air-saturated chemical lifetime is not cage time,context_only,reference_evidence.encounter.diffusion_distance_context,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter_geometry_J_D_kassoc_ksep,separation; orientation; exchange; dipolar; association/separation; cage duration,unavailable,not available,doxorubicin-semiquinone/O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,targeted structure/EPR/kinetics search,NA,NA,unavailable,not reported in inspected exact-system papers and not found elsewhere,sensitivity_only,reference_evidence.encounter.geometry_exchange_dipolar_association_separation_duration,sensitivity_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
DQ_coherence,direct spin-correlated coherent D/Q encounter evidence,unavailable,not available,doxorubicin-semiquinone/O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,targeted transient-EPR; CIDEP/CIDNP; magnetic-field; product-branching search,NA,NA,unavailable,retrieved exact-system studies did not investigate D/Q observables; no separate direct paper found,sensitivity_only,reference_evidence.encounter.coherence,sensitivity_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_D,doublet encounter electron-transfer rate,unavailable,s^-1,doublet doxorubicin-semiquinone/O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,spin-resolved kinetics search,NA,NA,unavailable,bulk M^-1 s^-1 total rates cannot be converted or decomposed,illustrative_only,reference_evidence.encounter.k_D,illustrative_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_Q,quartet encounter electron-transfer rate,unavailable,s^-1,quartet doxorubicin-semiquinone/O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,spin-resolved kinetics search,NA,NA,unavailable,no state-resolved rate or channel yield,illustrative_only,reference_evidence.encounter.k_Q,illustrative_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_Q_over_k_D,quartet/doublet rate ratio,unavailable,dimensionless,doxorubicin-semiquinone/O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,spin-resolved kinetics search,NA,NA,unavailable,no defensible physical range or ordering; 0/0.01/0.1/1 are inactive illustrative benchmarks only,illustrative_only,reference_evidence.encounter.k_Q_over_k_D,illustrative_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
pKa_HO2,hydroperoxyl acid dissociation constant,4.88,dimensionless,HO2 radical to O2 radical anion,neutral to -1,oxygen-saturated formic acid/sodium formate aqueous buffer,not reported,0-13 investigated,pulse radiolysis,0.10,https://doi.org/10.1021/j100711a009,measured,buffer absence explains disagreement with earlier values; not a membrane/protein pKa,quantitative_aqueous,reference_evidence.downstream.HO2_pKa,quantitative_aqueous,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_HH,elementary HO2 plus HO2 dismutation rate,0.76e6,M^-1 s^-1,HO2 radical plus HO2 radical,neutral plus neutral,oxygen-saturated formic acid/sodium formate aqueous buffer,not reported,0-13 mechanism study,pulse-radiolysis decay,not reported,https://doi.org/10.1021/j100711a009,measured,species-resolved; do not call an O2- plus O2- rate,quantitative_aqueous,reference_evidence.downstream.k_HO2_HO2,quantitative_aqueous,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_HA,elementary HO2 plus O2 radical-anion dismutation rate,8.5e7,M^-1 s^-1,HO2 radical plus superoxide,neutral plus -1,oxygen-saturated formic acid/sodium formate aqueous buffer,not reported,0-13 mechanism study,pulse-radiolysis decay,not reported,https://doi.org/10.1021/j100711a009,measured,requires explicit acid-base speciation,quantitative_aqueous,reference_evidence.downstream.k_HO2_O2minus,quantitative_aqueous,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_AA,direct superoxide plus superoxide disproportionation upper bound,<100,M^-1 s^-1,superoxide plus superoxide,-1 plus -1,oxygen-saturated formic acid/sodium formate aqueous buffer,not reported,0-13 mechanism study,pulse-radiolysis bound,not reported,https://doi.org/10.1021/j100711a009,measured_upper_bound,2026 reevaluation gives tighter <0.3 M^-1 s^-1; common neutral-pH effective rates are not this elementary step,quantitative_aqueous,reference_evidence.downstream.k_O2minus_O2minus,quantitative_aqueous,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_SOD_oxidation,bovine CuZnSOD oxidized-enzyme half-reaction,1.2e9,M^-1 s^-1,bovine CuZnSOD plus superoxide,enzyme state E0 plus -1,aqueous O2; EDTA; formate,not reported,not reported in accessible record,pulse radiolysis optical 650/300 nm,0.2e9 M^-1 s^-1,https://doi.org/10.1021/ja00790a007,measured,exact enzyme/preparation only; surrogate for human or mitochondrial SOD,sensitivity_benchmark,reference_evidence.downstream.k_CuZnSOD_oxidation,sensitivity_benchmark,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_SOD_reduction,bovine CuZnSOD reduced-enzyme half-reaction,2.2e9,M^-1 s^-1,bovine CuZnSOD plus superoxide,enzyme state E- plus -1,aqueous O2; EDTA; formate,not reported,not reported in accessible record,pulse radiolysis optical 650/300 nm,0.4e9 M^-1 s^-1,https://doi.org/10.1021/ja00790a007,measured,exact enzyme/preparation only; surrogate otherwise,sensitivity_benchmark,reference_evidence.downstream.k_CuZnSOD_reduction,sensitivity_benchmark,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
k_SOD_overall,overall bovine CuZnSOD-superoxide rate,2.37e9,M^-1 s^-1,native bovine CuZnSOD plus superoxide,enzyme plus -1,aqueous,298 K,not reported in accessible abstract,pulse radiolysis plus optical/EPR,0.18e9 M^-1 s^-1,https://doi.org/10.1042/bj1390049,measured,not a universal intracellular SOD1/SOD2 constant,sensitivity_benchmark,reference_evidence.downstream.k_CuZnSOD_overall,sensitivity_benchmark,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
v_O2minus_heart_SMP,superoxide formation rate,control 1.6+/-0.2;doxorubicin 69.6+/-2.7,nmol min^-1 mg^-1,bovine-heart submitochondrial particles plus doxorubicin,doxorubicin HCl microspecies not reported,isolated submitochondrial particles,not reported in accessible abstract,not reported in accessible abstract,SOD-inhibitable cytochrome-c reduction,0.2;2.7,https://doi.org/10.1016/S0021-9258(17)35747-2,measured_mean_SE,90 uM dose; exact buffer oxygen and timing unavailable in accessible abstract,quantitative_matched_validation,validation_datasets.beef_heart_submitochondrial_superoxide,quantitative_matched_validation,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
v_H2O2_heart_SMP,hydrogen peroxide formation rate,control undetectable;doxorubicin 2.2+/-0.3,nmol min^-1 mg^-1,bovine-heart submitochondrial particles plus doxorubicin,doxorubicin HCl microspecies not reported,isolated submitochondrial particles,not reported in accessible abstract,not reported in accessible abstract,catalase-released oxygen,0.3,https://doi.org/10.1016/S0021-9258(17)35747-2,measured_mean_SE,200 uM dose; detection limit and exact conditions not reported in accessible abstract,quantitative_matched_validation,validation_datasets.beef_heart_submitochondrial_H2O2,quantitative_matched_validation,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
v_O2minus_Ehrlich_microsomes,SOD-inhibitable superoxide proxy rate; control vs drug,0.51+/-0.26 n=3;14.71+/-1.43 n=6,nmol min^-1 mg^-1,Ehrlich-Lettre tumor microsomes plus doxorubicin,doxorubicin HCl microspecies not reported,200 ug protein in 1 mL; 150 mM potassium phosphate; 100 uM EDTA; 1 mM NADPH,310 K,7.4,acetylated cytochrome-c reduction at 550 nm,0.26;1.43,https://doi.org/10.1155/2019/9474823,measured_mean_SE,135 uM dose; initial linear rate; oxygenation not separately reported,quantitative_matched_validation,validation_datasets.Ehrlich_microsome_superoxide,quantitative_matched_validation,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
